,Year,Reporter,Reporter_ISO,Partner,Partner_ISO,Commodity_Code,Trade_Value_USD
25771,2018,Israel,ISR,Latvia,LVA,8421,48000
25772,2018,Israel,ISR,Latvia,LVA,8511,1000
25773,2018,Israel,ISR,Latvia,LVA,6206,1000
25774,2018,Israel,ISR,Latvia,LVA,2008,3000
25775,2018,Israel,ISR,Latvia,LVA,6108,2000
25776,2018,Israel,ISR,Latvia,LVA,6403,2000
25777,2018,Israel,ISR,Latvia,LVA,3917,128000
25778,2018,Israel,ISR,Latvia,LVA,9018,359000
25779,2018,Israel,ISR,Morocco,MAR,1301,2000
25780,2018,Israel,ISR,Morocco,MAR,6505,7000
25781,2018,Israel,ISR,Morocco,MAR,4903,4000
25782,2018,Israel,ISR,Morocco,MAR,8703,4885000
25783,2018,Israel,ISR,Morocco,MAR,1604,2399000
25784,2018,Israel,ISR,Morocco,MAR,507,20000
25785,2018,Israel,ISR,Morocco,MAR,4818,2000
25786,2018,Israel,ISR,Morocco,MAR,1902,782000
25787,2018,Israel,ISR,Morocco,MAR,8517,20000
25788,2018,Israel,ISR,Morocco,MAR,8424,10000
25789,2018,Israel,ISR,Morocco,MAR,4202,45000
25790,2018,Israel,ISR,Morocco,MAR,6304,17000
25791,2018,Israel,ISR,Mexico,MEX,8483,278000
25792,2018,Israel,ISR,Mexico,MEX,2922,1183000
25793,2018,Israel,ISR,Mexico,MEX,1404,56000
25794,2018,Israel,ISR,Mexico,MEX,8518,2183000
25795,2018,Israel,ISR,Mexico,MEX,8519,8000
25796,2018,Israel,ISR,Mexico,MEX,6907,5000
25797,2018,Israel,ISR,Mexico,MEX,8527,240000
25798,2018,Israel,ISR,Mexico,MEX,1905,3000
25799,2018,Israel,ISR,Mexico,MEX,7013,196000
25800,2018,Israel,ISR,Mexico,MEX,3926,2718000
25801,2018,Israel,ISR,Mexico,MEX,7304,72000
25802,2018,Israel,ISR,Mexico,MEX,6211,32000
25803,2018,Israel,ISR,Mexico,MEX,4011,250000
25804,2018,Israel,ISR,Mexico,MEX,7019,19000
25805,2018,Israel,ISR,Mexico,MEX,3306,564000
25806,2018,Israel,ISR,Mexico,MEX,6117,1000
25807,2018,Israel,ISR,Mexico,MEX,6201,52000
25808,2018,Israel,ISR,Mexico,MEX,8541,133000
25809,2018,Israel,ISR,Mexico,MEX,9021,10627000
25810,2018,Israel,ISR,Mexico,MEX,2914,65000
