from_file,,Year,Reporter,Reporter_ISO,Partner,Partner_ISO,Commodity_Code,Trade_Value_USD
1,57788,2017,Israel,ISR,USA,USA,2401,164000
1,57789,2017,Israel,ISR,USA,USA,2941,504000
1,57790,2017,Israel,ISR,USA,USA,3605,4000
1,57791,2017,Israel,ISR,USA,USA,3507,1549000
1,57792,2017,Israel,ISR,USA,USA,7018,458000
1,57793,2017,Israel,ISR,USA,USA,8707,108000
1,57794,2017,Israel,ISR,USA,USA,4008,1286000
1,57795,2017,Israel,ISR,USA,USA,8308,182000
1,57796,2017,Israel,ISR,USA,USA,8407,1693000
1,57797,2017,Israel,ISR,USA,USA,8903,5748000
1,57798,2017,Israel,ISR,USA,USA,2715,308000
1,57799,2017,Israel,ISR,USA,USA,7117,980000
1,57800,2017,Israel,ISR,USA,USA,8906,1192000
1,57801,2017,Israel,ISR,USA,USA,1703,61000
1,57802,2017,Israel,ISR,USA,USA,9107,25000
1,57803,2017,Israel,ISR,USA,USA,9401,12020000
1,57804,2017,Israel,ISR,USA,USA,3208,10185000
1,57805,2017,Israel,ISR,USA,USA,403,12000
1,57806,2017,Israel,ISR,USA,USA,8452,117000
1,57807,2017,Israel,ISR,USA,USA,7113,10128000
1,57808,2017,Israel,ISR,USA,USA,304,181000
1,57809,2017,Israel,ISR,USA,USA,5608,96000
1,57810,2017,Israel,ISR,USA,USA,4818,5826000
1,57811,2017,Israel,ISR,USA,USA,4114,12000
1,57812,2017,Israel,ISR,USA,USA,2001,101000
1,57813,2017,Israel,ISR,USA,USA,7229,29000
1,57814,2017,Israel,ISR,USA,USA,5806,971000
1,57815,2017,Israel,ISR,USA,USA,9017,745000
1,57816,2017,Israel,ISR,USA,USA,3214,7038000
1,57817,2017,Israel,ISR,USA,USA,7225,3813000
1,57818,2017,Israel,ISR,USA,USA,7216,62000
1,57819,2017,Israel,ISR,USA,USA,1902,536000
1,57820,2017,Israel,ISR,USA,USA,3913,1230000
1,57821,2017,Israel,ISR,USA,USA,7217,673000
1,57822,2017,Israel,ISR,USA,USA,2813,4000
1,57823,2017,Israel,ISR,USA,USA,9014,27045000
1,57824,2017,Israel,ISR,USA,USA,2837,261000
1,57825,2017,Israel,ISR,USA,USA,8007,36000
1,57826,2017,Israel,ISR,USA,USA,4911,6205000
1,57827,2017,Israel,ISR,USA,USA,9020,1506000
1,57828,2017,Israel,ISR,USA,USA,4409,1278000
1,57829,2017,Israel,ISR,USA,USA,4413,41000
1,57830,2017,Israel,ISR,USA,USA,4410,758000
1,57831,2017,Israel,ISR,USA,USA,6216,195000
1,57832,2017,Israel,ISR,USA,USA,2930,847000
1,57833,2017,Israel,ISR,USA,USA,2207,1817000
1,57834,2017,Israel,ISR,USA,USA,9029,579000
1,57835,2017,Israel,ISR,USA,USA,2308,561000
1,57836,2017,Israel,ISR,USA,USA,5105,1000
1,57837,2017,Israel,ISR,USA,USA,4602,5000
1,57838,2017,Israel,ISR,USA,USA,8473,58655000
1,57839,2017,Israel,ISR,USA,USA,9614,2000
1,57840,2017,Israel,ISR,USA,USA,8207,8979000
1,57841,2017,Israel,ISR,USA,USA,8701,460000
1,57842,2017,Israel,ISR,USA,USA,7308,5407000
