from_file,,Year,Reporter,Reporter_ISO,Partner,Partner_ISO,Commodity_Code,Trade_Value_USD
1,57788,2017,Israel,ISR,USA,USA,2401,164000
1,57789,2017,Israel,ISR,USA,USA,2941,504000
1,57790,2017,Israel,ISR,USA,USA,3605,4000
1,57791,2017,Israel,ISR,USA,USA,3507,1549000
1,57792,2017,Israel,ISR,USA,USA,7018,458000
1,57793,2017,Israel,ISR,USA,USA,8707,108000
1,57794,2017,Israel,ISR,USA,USA,4008,1286000
1,57795,2017,Israel,ISR,USA,USA,8308,182000
1,57796,2017,Israel,ISR,USA,USA,8407,1693000
1,57797,2017,Israel,ISR,USA,USA,8903,5748000
1,57798,2017,Israel,ISR,USA,USA,2715,308000
1,57799,2017,Israel,ISR,USA,USA,7117,980000
1,57800,2017,Israel,ISR,USA,USA,8906,1192000
1,57801,2017,Israel,ISR,USA,USA,1703,61000
1,57802,2017,Israel,ISR,USA,USA,9107,25000
1,57803,2017,Israel,ISR,USA,USA,9401,12020000
1,57804,2017,Israel,ISR,USA,USA,3208,10185000
1,57805,2017,Israel,ISR,USA,USA,403,12000
1,57806,2017,Israel,ISR,USA,USA,8452,117000
1,57807,2017,Israel,ISR,USA,USA,7113,10128000
1,57808,2017,Israel,ISR,USA,USA,304,181000
1,57809,2017,Israel,ISR,USA,USA,5608,96000
1,57810,2017,Israel,ISR,USA,USA,4818,5826000
1,57811,2017,Israel,ISR,USA,USA,4114,12000
1,57812,2017,Israel,ISR,USA,USA,2001,101000
1,57813,2017,Israel,ISR,USA,USA,7229,29000
1,57814,2017,Israel,ISR,USA,USA,5806,971000
1,57815,2017,Israel,ISR,USA,USA,9017,745000
1,57816,2017,Israel,ISR,USA,USA,3214,7038000
1,57817,2017,Israel,ISR,USA,USA,7225,3813000
1,57818,2017,Israel,ISR,USA,USA,7216,62000
1,57819,2017,Israel,ISR,USA,USA,1902,536000
1,57820,2017,Israel,ISR,USA,USA,3913,1230000
1,57821,2017,Israel,ISR,USA,USA,7217,673000
1,57822,2017,Israel,ISR,USA,USA,2813,4000
1,57823,2017,Israel,ISR,USA,USA,9014,27045000
1,57824,2017,Israel,ISR,USA,USA,2837,261000
1,57825,2017,Israel,ISR,USA,USA,8007,36000
1,57826,2017,Israel,ISR,USA,USA,4911,6205000
1,57827,2017,Israel,ISR,USA,USA,9020,1506000
1,57828,2017,Israel,ISR,USA,USA,4409,1278000
1,57829,2017,Israel,ISR,USA,USA,4413,41000
1,57830,2017,Israel,ISR,USA,USA,4410,758000
1,57831,2017,Israel,ISR,USA,USA,6216,195000
1,57832,2017,Israel,ISR,USA,USA,2930,847000
1,57833,2017,Israel,ISR,USA,USA,2207,1817000
1,57834,2017,Israel,ISR,USA,USA,9029,579000
1,57835,2017,Israel,ISR,USA,USA,2308,561000
1,57836,2017,Israel,ISR,USA,USA,5105,1000
1,57837,2017,Israel,ISR,USA,USA,4602,5000
1,57838,2017,Israel,ISR,USA,USA,8473,58655000
1,57839,2017,Israel,ISR,USA,USA,9614,2000
1,57840,2017,Israel,ISR,USA,USA,8207,8979000
1,57841,2017,Israel,ISR,USA,USA,8701,460000
1,57842,2017,Israel,ISR,USA,USA,7308,5407000
1,57843,2017,Israel,ISR,Viet Nam,VNM,6304,6000
1,57844,2017,Israel,ISR,Viet Nam,VNM,8525,1012000
1,57845,2017,Israel,ISR,Viet Nam,VNM,5407,6000
1,57846,2017,Israel,ISR,Viet Nam,VNM,6305,68000
1,57847,2017,Israel,ISR,Viet Nam,VNM,6117,1000
1,57848,2017,Israel,ISR,Viet Nam,VNM,5607,21000
1,57849,2017,Israel,ISR,Viet Nam,VNM,7113,37000
1,57850,2017,Israel,ISR,Viet Nam,VNM,5608,90000
1,57851,2017,Israel,ISR,Viet Nam,VNM,6405,563000
1,57852,2017,Israel,ISR,Viet Nam,VNM,6702,1000
1,57853,2017,Israel,ISR,Viet Nam,VNM,901,278000
1,57854,2017,Israel,ISR,Viet Nam,VNM,8215,6000
1,57855,2017,Israel,ISR,Viet Nam,VNM,6207,27000
1,57856,2017,Israel,ISR,Viet Nam,VNM,2208,1000
1,57857,2017,Israel,ISR,Viet Nam,VNM,8428,18000
1,57858,2017,Israel,ISR,Viet Nam,VNM,8477,4000
1,57859,2017,Israel,ISR,Viet Nam,VNM,904,6358000
1,57860,2017,Israel,ISR,Viet Nam,VNM,5401,27000
1,57861,2017,Israel,ISR,Viet Nam,VNM,6810,864000
1,57862,2017,Israel,ISR,Viet Nam,VNM,6815,18000
1,57863,2017,Israel,ISR,Viet Nam,VNM,8516,30000
1,57864,2017,Israel,ISR,South Africa,ZAF,8712,301000
1,57865,2017,Israel,ISR,South Africa,ZAF,6111,3000
1,57866,2017,Israel,ISR,South Africa,ZAF,7117,2000
1,57867,2017,Israel,ISR,South Africa,ZAF,6117,1000
1,57868,2017,Israel,ISR,South Africa,ZAF,8503,285000
1,57869,2017,Israel,ISR,South Africa,ZAF,3206,145000
1,57870,2017,Israel,ISR,South Africa,ZAF,6601,20000
1,57871,2017,Israel,ISR,South Africa,ZAF,2006,33000
1,57872,2017,Israel,ISR,South Africa,ZAF,7606,639000
1,57873,2017,Israel,ISR,South Africa,ZAF,8415,4000
1,57874,2017,Israel,ISR,South Africa,ZAF,5702,44000
1,57875,2017,Israel,ISR,South Africa,ZAF,3919,1000
1,57876,2017,Israel,ISR,South Africa,ZAF,8512,1000
1,57877,2017,Israel,ISR,South Africa,ZAF,9020,11000
1,57878,2017,Israel,ISR,South Africa,ZAF,3402,43000
1,57879,2017,Israel,ISR,South Africa,ZAF,6810,2000
1,57880,2017,Israel,ISR,South Africa,ZAF,8467,6000
1,57881,2017,Israel,ISR,South Africa,ZAF,8703,53000
1,57882,2017,Israel,ISR,South Africa,ZAF,2208,60000
